Sanctuary,"Action, Drama, Fantasy, Mystery, Sci-Fi","Stem cells, gene therapy, transplants, cloning; The very meaning of the word ""humanity"" changes daily in the modern world. But there is a darker side to the evolution of mankind, a truth only a few brave souls are willing to face: There are monsters loose in the world. And they are the key to the future of our race."
Tarzan the Fearless,"Action, Adventure","In the African Jungle, a group of Europeans come across the fabled white man who was raised by apes. Tarzan takes an immediate liking to the blond Mary Brooks and rescues her during a nasty storm. Not everyone in the party sees Tarzan as a friend and one of the safari guides, Jeff Herbert, has a written offer of £10,000 for anyone who can confirm that the ape man is dead. Mary's father disappears however, taken prisoner by those who guard the treasure of Zar. It's left to Tarzan to rescue him and the others who have been taken prisoner."
Today We Live,"Drama, Romance, War","The two lovers are living together and are not married as they hesitantly explain to her brother. They had made a promise as children to get married when they grew up, but they ""didn't wait."" It's an important plot point as it drives Cooper's actions when he discovers that Crawford and Young are living in sin."
Torch Singer,"Drama, Musical, Romance","Sally Trent has an illegitimate child, but cannot support her and gives the baby up for adoption. The father, Michael Gardner, leaves for China not knowing about the baby, and she assumes he has abandoned her for life. She gets a job as a torch singer, changes her name to Mimi Benton, and becomes notorious for her drinking and philadering. Mimi fills in on a children's radio program as the character ""Aunt Jenny,"" singing and telling bedtime stories, and eventually uses the airtime to find her long lost daughter, part with her wild lifestyle, and reunite with Michael."
Blood Sucker Punch,"Action, Comedy",Street fighters versus Vampires... 'Nuff said.
The Vampire Bat,"Drama, Horror, Mystery, Romance, Sci-Fi","When the villagers of Klineschloss start dying of blood loss, the town fathers suspect a resurgence of vampirism. While police inspector Karl remains skeptical, scientist Dr. von Niemann cares for the vampire's victims one by one, and suspicion falls on simple-minded Herman Gleib because of his fondness for bats. A blood-thirsty mob hounds Gleib to his death, but the vampire attacks don't stop."
Strauss' Great Waltz,"Biography, Music, Romance","Schani, Johan Strauss Jr., is forced by his father to forget music and to work in a bakery. Here he falls in love with Resi. The girl gets very jealous when a rich and beautiful contessa asks Schani to write a waltz for her. Schani writes and plays it, but he is always loyal to his girlfriend."
When Ladies Meet,"Comedy, Drama, Romance","Mary, a writer working on a novel about a love triangle, is attracted to her publisher. Her suitor Jimmy is determined to break them up; he introduces Mary to the publisher's wife without telling Mary who she is."
The Working Man,"Comedy, Drama, Romance","Successful wealthy shoe manufacturer John Reeves takes a vacation, leaving his business in the hands of his nephew. While on vacation Reeves runs into his rival's heirs, who are living it up on their dead father's money. He doesn't tell them who he is and gets placed as their trustee. He uses the chance to reorganize their shoe company, becoming a rival to his own nephew. The ne'er-do-wells settle down and become involved in the business."
Ye Olden Days,"Animation, Short, Comedy, Family, Fantasy, Musical, Romance","The princess (Minnie) is to wed the Prince (Goofy, still known as Dippy Dawg) against her wishes. When she refuses, her father the king locks her in the tower. Minstrel Mickey sees her and rescues her, making a rope from the clothes of lady-in-waiting Clarabell. The king spots them and prepares to chop off Mickey's head until Minnie intercedes. The king calls for a joust. Mickey wins, and they live happily ever after."
'Neath the Arizona Skies,"Action, Adventure, Romance, Western","Chris Morrell, the guardian of half-Indian girl Nina, is helping her find her missing white father. so she can cash in on her late mother's oil lease. Outlaw Sam Black is after the girl and her father as well. Besides dealing with the Black gang, Morrell has to find another robber, Jim Moore, who switches clothes with him after he finds Chris unconscious from a fight with Sam Black. Along the way, he meets a lady who's the sister of Jim Moore, another bad hombre who's in cahoots with Sam Black, and an old friend who takes in Nina and helps Chris locate Nina's father and fight off the various desperadoes."
L'Atalante,"Comedy, Drama, Romance","When Juliette marries Jean, she comes to live with him as he captains a river barge. Besides the two of them, are a cabin boy and the strange old second mate Pere Jules. Soon bored by life on the river, she slips off to see the nightlife when they come to Paris. Angered by this, Jean sets off, leaving Juliette behind. Overcome by grief and longing for his wife, Jean falls into a depression and Pere Jules goes and tries to find Juliette."
The Barretts of Wimpole Street,"Biography, Drama, Romance","In 1845 London, the Barrett family is ruled with an iron fist by its stern widowed patriarch, Edward Moulton-Barrett. His nine grown children are afraid of him more than they love him. One of his rules is that none of his children are allowed to marry, which does not sit well with youngest daughter Henrietta as she loves and wants to marry Captain Surtees Cook. Of the nine, the one exception is his daughter Elizabeth, who abides faithfully to her father's wishes. Elizabeth does not think too much about the non-marriage rule as she has an unknown chronic illness which has kept her bedridden. She feels her life will not be a long one. With her time, she writes poetry, which she shares by correspondence with another young poet, Robert Browning. Elizabeth's outlook on her life changes when she meets Mr. Browning for the first time, he who has fallen in love with her without even having met her. She, in return, falls in love with him after their meeting. With Mr. Browning's love and support, Elizabeth tries to get well and enjoy life, this all against the thoughts of her father, who physically and emotionally traps Elizabeth and by association all of his children, all in the name of protecting her and them in the name of God."
The Belle of New Orleans,"Short, Romance",N/A
The Black Cat,"Adventure, Crime, Horror, Romance, Thriller","Honeymooning in Hungary, Joan and Peter Allison share their train compartment with Dr. Vitus Verdegast, a courtly but tragic man who is returning to the remains of the town he defended before becoming a prisoner of war for fifteen years. When their hotel-bound bus crashes in a mountain storm and Joan is injured, the travellers seek refuge in the home, built fortress-like upon the site of a bloody battlefield, of famed architect Hjalmar Poelzig. There, cat-phobic Verdegast learns his wife's fate, grieves for his lost daughter, and must play a game of chess for Allison's life."
Blue Steel,"Action, Crime, Drama, Thriller","On her first day on the job, NYPD officer Megan Turner, the lone officer on the scene, shoots and kills the perpetrator of a supermarket hold-up. Since no gun was found on the perpetrator's person or at the scene and none of the witnesses could corroborate Megan's story definitively that the perpetrator was indeed wielding a gun, she is suspended from active duty. She is quickly albeit temporarily reinstated to the position of homicide detective because the spent shell casing from the bullet used in a subsequent murder had her name carved on it. This murder ends up being only the first in a series. Working on the case with fellow homicide detective Nick Mann, Megan initially has no idea who in her life could be the murderer. In short order, the murderer does show himself to her. He is commodities trader Eugene Hunt who she met immediately following her suspension and who she has since dated. He also implies to her that he was in the supermarket at the time of the hold-up and that he fled the scene with the perpetrator's gun. The supermarket shooting caused a psychotic break in him which resulted in among other things his obsession with her. However, beyond his implications only to her of being the murderer, Megan has no hard evidence that would stand up in a court of law that Eugene is indeed the murderer. Megan has to convince her colleagues, especially Nick, that she is telling the truth about Eugene, while stopping him from killing again and equally as important stopping him from his continued psychological torture of her."
Sacred and Profane Love,"Drama, Romance",N/A
Cleopatra,"Biography, Drama, History, Romance","In 48 B.C., Caesar pursues Pompey from Pharsalia to Egypt. Ptolemy, now supreme ruler after deposing his older sister, Cleopatra, attempts to gain favor with Caesar by presenting the conquerer with the head of Pompey, borne by his governors, Pothinos and Achillas. To win Caesar's support from her brother, Cleopatra hides herself in a rug, which Apollodorus, her servant, presents to Caesar. The Roman is immediately infatuated; banishing Ptolemy, he declares Cleopatra Egypt's sole ruler and takes her as his mistress. A son, Caesarion, is born of their union. Caesar, however, must return to Italy. Although he is briefly reunited with Cleopatra during a magnificent reception for the queen in Rome, Caesar is assassinated shortly thereafter, and Cleopatra returns to Egypt. When Mark Antony, Caesar's protégé, beholds Cleopatra aboard her elaborate barge at Tarsus some years later, he is smitten and becomes both her lover and military ally. Their liaison notwithstanding, Antony, to consolidate his position in Rome, marries Octavia, sister of the ambitious Octavian. The marriage satisfies no one. Cleopatra is infuriated, and Antony, tiring of his Roman wife, returns to Egypt. There he flaunts his liaison by marrying Cleopatra in a public ceremony. Sensing Antony's weakness, Octavian attacks and defeats his forces at Actium. Alarmed, Cleopatra withdraws her fleet and seeks refuge in her tomb."
The Count of Monte Cristo,"Action, Adventure, Drama, Thriller","'The Count of Monte Cristo' is a remake of the Alexander Dumas tale by the same name. Dantes, a sailor who is falsely accused of treason by his best friend Fernand, who wants Dantes' girlfriend Mercedes for himself. Dantes is imprisoned on the island prison of Chateau d'If for 13 years, where he plots revenge against those who betrayed him. With the help of another prisoner, he escapes the island and proceeds to transform himself into the wealthy Count of Monte Cristo as part of his plan to exact revenge."
Dames,"Comedy, Musical, Romance","A multimillionaire decides to boycott ""filthy"" forms of entertainment such as Broadway shows."
Death Takes a Holiday,"Drama, Fantasy, Romance","Death decides to take a holiday from his usual business to see what it is like to be a mortal. Posing as Prince Sirki, he spends 3 days with Duke Lambert and his guests at his dukal estate. Several of the women are attracted to the mysterious prince, but shy away from him when they sense his true nature. But Grazia, the beautiful young woman whom the Duke thought was to marry his son, loves him even when she knows who he is."
Evelyn Prentice,"Drama, Mystery, Romance","Evelyn Prentice is the respected wife of a high-profile New York attorney. Despite the prestige and status she enjoys, she feels neglected and out of boredom becomes involved with an unscrupulous womanizing poet, who gives her the attention she craves. She eventually finds herself a victim of blackmail and becomes involved in his murder. When another woman is accused of the crime, she begs her husband to defend her."
Flirtation Walk,"Musical, Romance","A Musical-romance with Dick Powell as a private stationed in Hawaii who gets involved with Ruby Keeler, the general's engaged daughter. In order to avoid a scandal, the pair break up, but meet again years later when Powell's at West Point producing the annual play that turns out to star Keeler."
Forsaking All Others,"Comedy, Drama, Romance","Dill leaves Mary standing at the altar in order to marry his old flame, Connie, instead. Knowing that Mary still has feelings for Dill, Jeff keeps quiet about his own love for her."
The Gay Divorcee,"Comedy, Musical, Romance","Mimi Glossop wants a divorce so her Aunt Hortense hires a professional to play the correspondent in apparent infidelity. American dancer Guy Holden meets Mimi while visiting Brightbourne (Brighton) and she thinks he is the correspondent. The plot is really an excuse for song and dance. The movie won three Academy nominations and the first Oscar for Best Song: ""The Continental"", a twenty-two minute production number."
The Girl from Missouri,"Comedy, Drama, Romance","With her pal Kitty, Eadie Chapman escapes from the sleazy roadhouse run by her mother and stepfather, only to become a showgirl. But her former milieu gave her a poor opinion of easy morals, and she plans to preserve her 'virtue' until marriage...preferably to a rich husband; while Kitty keeps falling for servants. Will playboy Tom Paige break down Eadie's resistance before his cynical father intervenes?"
Here Comes the Navy,"Comedy, Drama, Romance","To continue a grudge with naval officer Biff Martin, feisty construction worker Chesty O'Connor joins the navy and manages to get stationed on the same ship as Martin. Further complications arise when O'Connor starts dating Martin's sister, whom he meets while on shore leave."
It Happened One Night,"Comedy, Romance","Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what (he thinks!) he wants .... a really juicy newspaper story."
Jimmy the Gent,"Comedy, Crime, Drama, Romance",Unscrupulous investigator of lost heirs Jimmy Corrigan loses his love Joan Martin to apparently upright competitor James Wallingham. He counters by adding a veneer of respectability to his own operation. Meanwhile he exposes Wallingham for a fraud.
Judge Priest,"Comedy, Drama, Romance","Judge William ""Billy"" Priest lives in a very patriotic (Confederate) southern town. Priest plays a laid-back, widowed judge who helps uphold the law in his toughest court case yet. In the meantime, he plays matchmaker for his young nephew."
The Lawless Frontier,"Romance, Western","Tobin is after the bandit Zanti who killed his parents. He finds him just as Zanti is about to kill Dusty and kidnap Ruby. Saving the two, he goes after Zanti. He catches him but Zanti escapes the Sheriff's handcuff's and this time Tobin has to chase him into the desert."
The Little Minister,"Drama, Romance","In rural 1840's Scotland, Gavin Dishart arrives to become the new ""little minister"" of Thrums's Auld Licht church. He meets a mysterious young gypsy girl in the dens and to his horror Babbie draws him into her escape from the soldiers after she incites a Luddite riot. But unknown to Gavin, Babbie is more than she seems. And they must overcome her secret, the villagers' fears of her, and worst of all, Gavin's devotion to his mother's sensibilities, before they can openly declare their love."
Little Miss Marker,"Comedy, Drama, Romance","Sorrowful Jones is a cheap bookie in 1930's. When a gambler leaves his daughter as a marker for a bet, he gets stuck with her. His life will change a great deal with her arrival and his sudden love for a woman also involved in gambling operations."
The Lucky Texan,"Romance, Western","When miners Mason and Benson turn in their gold at the assay office, the assay officials trail Benson back to the mine and shoot him. Mason is then arrested for the murder. But the supposedly dead Benson survived and now plans a surprise for the culprits at Mason's trial."
The Man from Utah,"Adventure, Crime, Romance, Sport, Western","The Marshal sends John Weston to a rodeo to see if he can find out who is killing the rodeo riders who are about to win the prize money. Barton has organized the rodeo and plans to leave with all the prize money put up by the townspeople. When it appears that Weston will beat Barton's rider, he has his men prepare the same fate for him that befell the other riders."
The Dark Tower,"Action, Adventure, Fantasy, Horror, Sci-Fi, Western",A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.
Dark Victory,"Drama, Romance","Judith Traherne is at the height of young society when Dr. Frederick Steele diagnoses a brain tumor. After surgery she falls in love with Steele. The doctor tells her secretary that the tumor will come back and eventually kill her. Learning this, Judith becomes manic and depressive. Her horse trainer Michael, who loves her, tells her to get as much out of life as she can. She marries Steele who intends to find a cure for her illness. As he goes off to a conference in New York failing eyesight indicates to Judith that she is dying."
Mandalay,"Drama, Romance","Russian refugee Tanya Borisoff is suddenly abandoned penniless in Rangoon, Burma, by her lover, Tony Evans, who accepted a gunrunning deal from Nick, the owner of an amoral nightclub. Nick made the deal hoping to get Tanya as his main ""hostess,"" which Tanya accepts after an initial refusal, just to make the best of a bad situation. She becomes notorious using the name ""Spot White,"" but her affairs cause the commissioner of police to deport her. She reminds the commissioner of a previous tryst he had with her and extorts 10,000 rupees from him with which to make a new life. She uses a new name, Marjorie Lang, going to Mandalay, Burma, via the Irrawadi River by steamer, where she meets alcoholic Dr. Gregory Burton, who is on his way to help in an area plagued with a deadly contagious fever. As they slowly fall in love, she learns he's doing that to make amends for once operating on a patient while drunk, causing his death. She decides to go with him so they can put their pasts behind them together. But Tony is on the steamer too, and tries to convince Tanya he still loves her. Tony gets a wire from Nick telling him the police are on his trail and will pick him up at the next port, so he leaves evidence to suggest he took poison and jumped overboard, but actually he hides in the hold of the boat. The captain finds the evidence and believes Tanya murdered Tony, but at the urging of Dr. Burton and the first mate who finds the wire, he finally decides it was a suicide and frees her. When Tony returns to an astonished Tanya, he tries to convince her to open a club with him in Mandalay, where she could be a ""hostess"" again. Through with that life, she eyes the poison still in the cabin as Tony asks her to make him a drink."
Manhattan Melodrama,"Crime, Drama, Romance","Orphans Edward ""Blackie"" Gallagher and Jim Wade are lifelong friends who take different paths in life. Blackie thrives on gambling and grows up to be a hard-nosed racketeer. Bookworm Wade becomes a D.A. vying for the Governorship. When Blackie's girlfriend Eleanor leaves him and marries the more down to earth Wade, Blackie harbors no resentment. In fact, their friendship is so strong that Blackie murders an attorney threatening to derail Wade's bid to become Governor. The morally straight Wade's last job as D.A. is to convict his friend of the murder, and send him to the electric chair. After he becomes Governor, Wade has the authority to commute Blackie's death sentence-- a decision that pits his high moral ethics against a lifelong friendship."
Men in Black,"Action, Adventure, Comedy, Sci-Fi","Based off of the comic book. Unbeknownst to other people, there is a private agency code named MiB. This agency is some kind of extra terrestrial surveillance corporation. Then, one of the agency's finest men only going by the name ""K"" (Tommy Lee Jones) , is recruiting for a new addition to the agency. He has chosen James Edwards (Will Smith) of the N.Y.P.D. Then, one day, a flying saucer crashes into Earth. This was an alien a part of the ""Bug"" race. He takes the body of a farmer (Vincent D'Onofrio) and heads to New York. He is searching for a super energy source called ""The Galaxy"". Now, Agents J and K must stop the bug before it can escape with the galaxy."
Midnight,"Comedy, Romance","Showgirl Eve, stranded in Paris without a sou, befriends taxi driver Tibor Czerny, then gives him the slip to crash a party. There she meets Helene Flammarion and her gigolo Picot, who's attracted to Eve. Helene's scheming husband Georges enlists Eve's aid in taking Picot away from his wife. It works well... at first. Meanwhile, lovestruck Tibor searches for Eve. But then he learns she's calling herself Baroness Czerny!"
Les Misérables,"Drama, History, Musical, Romance, War","Jean Valjean, known as Prisoner 24601, is released from prison and breaks parole to create a new life for himself while evading the grip of the persistent Inspector Javert. Set in post-revolutionary France, the story reaches resolution against the background of the June Rebellion."
Murder at the Vanities,"Musical, Mystery, Romance","Shortly before the curtain goes up the first time at the latest performance of Earl Carroll's Vanities, someone is attempting to injure the leading lady Ann Ware, who wants to marry leading man Eric Lander. Stage manager in charge Jack Ellery calls in his friend, policeman Bill Murdock, to help him investigate. Bill thinks Jack if offering to let him see the show from an unusual view point, after he forgot to get him tickets for the performance, but then they find the corpse of a murdered women. Bill suspects Eric of the crime, especially, after the second female lead Rita Ross told him she saw the women leaving from Eric's room. Then Rita is shot onstage with Eric's gun. Jack and Bill decide not to stop the show, but Bill preparing to arrest Eric. Is he on the right track ?"
Music in the Air,"Comedy, Musical, Romance",Constantly quarreling couple decide to try the jealousy angle when a naive young couple comes along.
Now and Forever,"Drama, Musical, Romance","Young freewheeling wanderer Jerry Day and his beautiful wife Toni are at odds over their lifestyle. Jerry can't accept responsibility but Toni yearns for a family and a settled life. Then the Days 'rediscover' Jerry's young daughter Pennie, who has been living with his rich deceased wife's family. Pennie appears to be just what Jerry needs to mend his swindling ways and lead a straight life. Despite the responsibility of his new family, Jerry is swayed by the corruptible influence of jewelry thief Felix Evans. When Evans lures Jerry into a job, it puts the continuation of his new family life at risk."
Of Human Bondage,"Drama, Romance","Abandoning artistic ambitions, sensitive and club-footed Philip Carey enrolls in medical school and falls in love with a waitress Mildred Rogers. She rejects him, runs off with a salesman and returns unmarried and pregnant. Philip gets her an apartment and they become engaged. Mildred runs off with another medical student. Philip takes her back again when she returns with her baby. She wrecks his apartment and burns the securities he needs to pay tuition. He gets a job as a salesman, has surgery on his foot, receives an inheritance, and returns to school where he learns Mildred is dying."
Operator 13,"Drama, History, Romance, War, Western","Gail Loveless, a spy known as Operator 13 working for the Union and Federal cause during the Civil War, posing as a Confederate woman named Anne Claybourne, meets and falls in love with Confederate Captain Jack Galliard. Dusguised as an octoroom maid at a Confedarate military ball, she learns and relays secrets to the Union forces that are devastating to the Rebel cause. Assigned to the case to track down and kill the spy maid, Galliard learns she is also the woman he loves, but proceeds with his assignment. He captures her but is in danger of being captured himself as Federal forces are approaching. Gail/Anne saves him and they part to wait until peace comes to resume their romance."
Hell's Crossroads,"Action, Adventure, Western",An imprisoned gunfighter is offered parole on one condition--that he track down and bring in Jesse James.
The Painted Veil,"Drama, Romance","This love story has Kitty meeting young, intelligent, shy and somewhat dull Dr. Walter Fane, whose forte is the study of infectious diseases, and the convenient marriage that she finds herself committed to. It is in this web of intrigue that they head for China, only after Walter discovers Kitty's infidelity with one dashing and witty diplomat Charlie Townsend. So much as to hide her from herself and to help thwart a cholera outbreak, this is a marriage more than on the rocks. This is a cold, indifferent and loveless partnership in a vast unknown and deadly environment that will test both these flightless lovebirds and with the hardships and tolerances more than any had ever anticipated. A visual delight amid the pain and suffering of a dying people and failing marriage. Will a cure be found for both, before it's too late?"
The Richest Girl in the World,"Comedy, Romance","Dorothy Hunter is an heiress of untold wealth. She believes no one will love her for herself and not for her money, so she pretends to be her secretary Sylvia while Sylvia pretends to be Dorothy. The real Dorothy, attracted to handsome young Tony Travers, pushes him to fall in love with the fake Dorothy, believing that if he does, it proves he is only after her money. But Dorothy's scheme is too complicated and begins to backfire, leaving everyone, especially Dorothy, confused about who loves whom."
Sadie McKee,"Drama, Romance","The life of Sadie McKee takes many twists and turns. She starts as the daughter of the cook for the well off Alderson family. Lawyer Michael Alderson likes Sadie but she runs off to New York City with boyfriend Tommy to get married. Before they get married, Tommy takes up with show girl Dolly and deserts her. Sadie stays in New York and becomes involved with Michael's boss, millionaire Brennan. She marries the chronically alcoholic Brennan for his money. Michael views her as a golddigger at first, but then sees her help Brennan beat his alcoholism. Sadie leaves Brennan to try and find Tommy when she hears that her old flame is in trouble. Little does she know just how much trouble."
The Scarlet Empress,"Drama, History, Romance","Young Princess Sophia of Germany is taken to Russia to marry the half-wit Grand Duke Peter, son of the Empress. The domineering Empress hopes to improve the royal blood line. Sophia doesn't like her husband, but she likes Russia, and is very fond of Russian soldiers. She dutifully produces a son -- of questionable fatherhood, but no one seems to mind that. After the old empress dies, Sophia engineers a coup d'etat with the aid of the military, does away with Peter, and becomes Catherine the Great."
Search for Beauty,"Comedy, Crime, Romance","Three shady characters - Larry, Jean, and Dan - want to make money legally by resuscitating a fitness magazine with cheesecake and beefcake photos and salacious stories with tacked-on morals. They hire two recent Olympic champions as editors to give legitimacy: Barbara Hilton, an English diver, and Don Jackson, a U.S. swimmer. When Jackson and Hilton object to the magazine's contents, they send him on a worldwide search for beauty, for youthful paragons of fitness. When Barbara and Don want out of the partnership to start their own fitness farm, the trio hatches a plan to bilk the kids. Can Barbara and Don avoid being conned or will a femme fatale undo their partnership?"
The Star Packer,"Romance, Western","John Travers and his Indian companion Yak are after the mysterious Shadow and his gang. When Sheriff Davis is killed, Travers becomes Sheriff. Catching two gang members, he learns of the room where the gang gets their orders from behind a fake wall safe and makes plans to trap the Shadow."
Tarzan and His Mate,"Action, Adventure","In the first sequel to Tarzan, the Ape Man, Harry Holt returns to Africa to head up a large ivory expedition. This time he brings his womanizing friend Marlin Arlington. Holt also harbors ideas about convincing Jane to return to London. When Holt and Arlington show Jane some of the modern clothes and perfumes they brought from civilization, she is impressed but not enough to return. Tarzan wrestles every wild animal imaginable to protect Jane but when he disallows the expedition from plundering ivory from the elephant burial grounds, it is he who takes a bullet from Arlington's gun. Jane eventually believes that Tarzan is dead but he is nursed back to health by the apes. As Jane and the returning expedition are attacked by violent natives, we wonder if Tarzan can rescue them yet again."
Thirty Day Princess,"Comedy, Romance","On a visit to a spa in the Ruritanian Kingdom of Tyronia, American financier Richard Gresham meets the country's ruler, King Anatol XII, and convinces him that he could arrange for $50 million dollars in loans to benefit his impoverished nation if the king's charming daughter could do reciprocal public relations in the States. Unfortunately Princess Catterina falls ill with the mumps and is quarantined for a month aboard ship. Rather than risk having his very lucrative endorsement deal fall through, Gresham hires out-of-work lookalike actress Nancy Lane to impersonate Catterina. Complications arise when she falls in love with investigative reporter Porter Madison, who is looking into Nancy Lane's disappearance. She tries to maintain the precariously delicate balance of playing the two parts convincingly with both the loan and her heart at stake."
The Trail Beyond,"Action, Adventure, Drama, Western","Rod Drew has been sent to find a missing miner and his daughter. He is joined by old friend Wabi whom he has to rescue from card cheats that framed him for murder. Later they find a skeleton and a map to a mine. When they put the map into a safe, a LaRocque henchman sees them. LaRocque wants the map and captures the Mountie sent to get Wabi. His man then dressed as the Mountie captures Rod and Wabi."
Twentieth Century,"Comedy, Romance","Broadway director Oscar Jaffe (John Barrymore) is a bigger ham than most actors, but through sheer drive and talent he is able to build a successful career. When one of his discoveries, Lily Garland (Carole Lombard), rises to stardom and heeds the call of Hollywood, Oscar begins a career slide. He hits the skids and seems on his way out, until he chances to meet Lily again, on a train ride aboard the Twentieth Century Limited. Oscar pulls out all the stops to re-sign his former star, but it's a battle... because Lily, who is as temperamental as Oscar is, wants to have nothing to do with her former mentor."
West of the Divide,"Romance, Western","Ted Hayden and his pal Dusty Rhodes come across a dying outlaw, Gatt Ganns. On Ganns's person, they find a letter of introduction to rancher Gentry implicating Gentry in the disappearance of Ted's kid brother Jim and the murder of their father many years earlier. Ted takes on Ganns's identity and pretends to go to work for Gentry, while actually looking for further evidence that Gentry did indeed murder his father and abduct his brother."
Wonder Bar,"Crime, Drama, Musical, Romance","Harry and Inez are a dance team at the Wonder Bar. Inez loves Harry, but he is in love with Liane, the wife of a wealthy business man. Al Wonder and the conductor/singer Tommy are in love with Inez. When Inez finds out, that Harry wants to leave Paris and is going to the USA with Liane she kills him."
Sob Sister,Romance,N/A
Alibi Ike,"Comedy, Romance, Sport","Rookie pitcher Francis ""Ike"" Farrell comes seemingly out of nowhere to help the Cubs go for the pennant. His idiosyncratic ways, which include excuses and alibis for everything, drive his manager and fiancee crazy in this baseball farce."
Alice Adams,"Comedy, Drama, Romance","In the small town of South Renford, Alice Adams comes from a working class background, although she aspires to be among the upper class. Alice's mother blames her husband for their low social standing, despite his working hard and Alice not blaming him for anything. Regardless, Alice tries to do whatever necessary to put on appearances of wealth and social standing, despite everyone in that class in town knowing who she is, and thus largely ignoring her because of her false airs. First meeting at a society ball, Alice surprisingly catches the eye of Arthur Russell, surprisingly as he purportedly is engaged to débutante Mildred Palmer. As Alice continues to hide her true social standing from Arthur as he courts her, Mrs. Adams pressures Mr. Adams into doing something he doesn't want to do in an effort truly to become part of the business class, that measure which entails sinking all his money into a business venture. Beyond the time when Arthur finds out the true nature behind Alice's facade, other issues may bring the fragile Adams society house of cards tumbling down around them, and thus the happiness Alice is seeking with Arthur."
Anna Karenina,"Drama, Romance","In 1874, in the Imperial Russia, the aristocratic Anna Karenina travels from Saint Petersburg to Moscow to save the marriage of her brother Prince Oblonsky, who had had a love affair with his housemaid. Anna Karenina has a cold marriage with her husband, Count Alexei Karenin, and they have a son. Anna meets the cavalry officer Count Vronsky at the train station and they feel attracted by each other. Soon she learns that Vronsky will propose to Kitty, who is the younger sister of her sister-in-law Dolly. Anna satisfactorily resolves the infidelity case of her brother and Kitty invites her to stay for the ball. However, Anna Karenina and Vronsky dance in the ball, calling the attention of the conservative society. Soon they have a love affair that will lead Anna Karenina to a tragic fate."
Barbary Coast,"Adventure, Drama, Romance, Western","Mary Rutledge arrives from the east, finds her fiance dead, and goes to work at the roulette wheel of Louis Charnalis' Bella Donna, a rowdy gambling house in San Francisco in the 1850s. She falls in love with miner Carmichael and takes his gold dust at the wheel. She goes after him, Louis goes after her with intent to harm Carmichael."
Becky Sharp,"Drama, Romance, War","Set against the background of the Battle of Waterloo, Becky Sharp is the story of Vanity Fair by Thackeray. Becky and Amelia are girls at school together, but Becky is from a ""show biz"" ..."
Black Fury,"Crime, Drama, Romance",An immigrant coal miner finds himself in the middle of a bitter labor dispute between the workers and the mine owners.
Broadway Melody of 1936,"Musical, Romance","Bob Gordon is staging a new Broadway Show, but he is short of money. He gets an offer of money by the young widow Lilian, if she can dance in his new show. Bert Keeler, a paper man, gets this information and is writing about this in his column in an slight unfriendly way. Gordon's old class mate Irene Forster, a tap dancer from Albany also tries to get the leading role in this show, but Lilian insists in getting this part herself. So Irene Forster, Bert Keeler and Gordon's secretary Kitty start a little game to get Irene the leading role."
Call of the Wild,"Action, Adventure, Drama, Romance, Western","Jack Thornton has trouble winning enough at cards for the stake he needs to get to the Alaska gold fields. His luck changes when he pays $250 for Buck, a sled dog that is part wolf to keep him from being shot by an arrogant Englishman also headed for the Yukon. En route to the Yukon with Shorty Houlihan -- who spent time in jail for opening someone else's letter with a map of where gold is to be found -- Jack rescues a woman whose husband was the addressee of that letter. Buck helps Jack win a $1,000 bet to get the supplies he needs. And when Jack and Claire Blake pet Buck one night, fingers touch."
Captain Blood,"Action, Adventure","Arrested during the Monmouth Rebellion and falsely convicted of treason, Dr. Peter Blood is banished to the West Indies and sold into slavery. In Port Royal, Jamaica the Governor's daughter Arabella Bishop buys him for £10 to spite her uncle, Col. Bishop who owns a major plantation. Life is hard for the men and for Blood as well. By chance he treats the Governor's gout and is soon part of the medical service. He dreams of freedom and when the opportunity strikes, he and his friends rebel taking over a Spanish ship that has attacked the city. Soon, they are the most feared pirates on the seas, men without a country attacking all ships. When Arabella is prisoner, Blood decides to return her to Port Royal only to find that it is under the control of England's new enemy, France. All of them must decide if they are to fight for their new King."
Ceiling Zero,"Adventure, Drama, Romance","War veteran pilots Dizzy Davis, Texas Clark and Jake Lee are working in an airline. Dizzy is fooling with one of the younger pilot's girl-friend and due to this, he changes flights with Texas. Texas' plane crashes attempting to land on their airfield under extremly bad weather circumstances, he is killed in this accident. Dizzy feels guilty for his friend's death and takes the next flight under even worse circumstances, testing a new anti-ice device on the plane."
