title,genre,plot
A Woman,"Short, Comedy","Mother, Father and Daughter go to the park. The women dose off on a bench while the father plays a hide-and-seek game with a girl, blindfolded. Charlie leads him into a lake. Both dozing ladies on the bench fall for Charlie and invite him for dinner. The father returns home with a friend. Charlie rushes upstairs and dresses like a woman, shaving his moustache. Both men fall for Charlie."
Work,"Comedy, Short","Charlie and his boss have difficulties just getting to the house they are going to wallpaper. The householder is angry because he can't get breakfast and his wife is screaming at the maid as they arrive. The kitchen gas stove explodes, and Charlie offers to fix it. The wife's secret lover arrives and is passed off as the workers' supervisor, but the husband doesn't buy this and fires shots. The stove explodes violently, destroying the house."
"20,000 Leagues Under the Sea","Adventure, Drama, Family, Fantasy, Sci-Fi","The oceans during the late 1860-92s are no longer safe; many ships have been lost. Sailors have returned to port with stories of a vicious narwhal (a giant whale with a long horn) which sinks their ships. A naturalist, Professor (Pierre) Aronnax, his assistant, Conseil, and a professional whaler, Ned Land, join an US expedition which attempts to unravel the mystery."
Behind the Screen,"Short, Comedy, Romance",Three movies are being shot simultaneously and Charlie is an overworked scene shifter. The foreman is waited on hand and foot until all the shifters but Charlie go on strike. A girl looking for work pretends to be a man and helps Charlie. Charlie discovers her gender and falls in love with her. The foreman thinks they are homosexual and in the ensuing fight they become involved in a long pie throwing scene from one of the movies in production. The frustrated workers dynamite the studio.
The Children in the House,Drama,Roy Somerville has turned out a rather interesting story that will hold the interest of the majority of audiences as produced by the Triangle-Fine Arts Company. It is a five-reel feature ...
The Count,"Short, Comedy","Charlie burns a count's trousers while ironing them and is fired. The tailor finds an invitation to dinner at Miss Moneybags and goes in place of the count. Charlie goes to the kitchen of the same house; he is attracted to the cook, and so are the butler and a policeman. Once discovered by the tailor-count, Charlie must pretend to be the count's secretary. The real count shows up."
The Fireman,"Short, Comedy",Charlie is a fireman who always does everything wrong. A man talks the Fire Chief into ignoring his burning home (he wants the insurance money) unaware that his daughter (the love of the Chief) is upstairs in the house. When the house next door catches fire its owner rouses Charlie who rouses the force.
Little Shop of Horrors,"Comedy, Horror, Musical, Romance, Sci-Fi","Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper. Soon enough, Seymour feeds Audrey's sadistic dentist boyfriend to the plant and later, Mushnik for witnessing the death of Audrey's ex. Will Audrey II take over the world or will Seymour and Audrey defeat it?"
The Floorwalker,"Short, Comedy","After causing havoc on the sales floor Charlie goes to the office floor. There he runs into the store inspector (who looks exactly like him) who has just robbed the safe and knocked out the manager. Charlie thinks he is in front of a mirror till he notices he holds a stock and his ""image"" the bag of loot."
Playmates,"Comedy, Music","Lulu Monahan (Patsy Kelly), the press agent for John Barrymore (John Barrymore),is attempting to get a sponsor for a radio program. To that end, she and the agent for bandleader Kay Kyser (..."
Hoodoo Ann,"Comedy, Drama, Romance","A little orphan girl believes that her life is falling apart. It seems that everything that could possibly go wrong does go wrong. However, certain things happen that begin to make her suspect that maybe she has been cursed by a doll, or is it really a doll?"
The Mother and the Law,Drama,"Two young people are made homeless by a strike. They struggle valiantly to survive their desolate situation, which grows worse as reform-minded citizens remove the couple's child from their care and the young father is falsely accused and convicted of murder."
Intolerance: Love's Struggle Throughout the Ages,"Drama, History","Intolerance and its terrible effects are examined in four historical eras. In ancient Babylon, a mountain girl is caught up in the religious rivalry that leads to the city's downfall. In Judea, the hypocritical Pharisees condemn Jesus Christ. In 1572 Paris, unaware of the impending St. Bartholomew's Day Massacre, two young Huguenots prepare for marriage. Finally, in modern America, social reformers destroy the lives of a young woman and her beloved."
The Missing Millionaire,"Short, Drama","Learning that Maxwell, the millionaire munitions manufacturer, has the apartment adjoining theirs in the hotel, Mona and Mary seek his aid in furthering their plans for social reforms. He agrees, but postpones action until the arrival of his secretary. That afternoon the girls overhear two brokers quarreling with Maxwell outside his door and threatening revenge. Mary follows the brokers, who go to the writing room. When they leave after writing a note, Mary stealthily secures the blotter they use, and back in the room, the girls find by putting it before a mirror that they have half of an address. The next day they learn that Maxwell has appeared, and that his stock is tumbling. The girls put their wits to the task and finally learn that the complete address on the blotter that of Dr. Walter Ludlow, at a sanitarium near the city. Mona goes to the sanitarium and makes arrangements for them to receive Mary, who, she declares, has become mentally unbalanced. While there she succeeds in confirming her suspicions that Maxwell is held a prisoner. By a clever ruse the girls then succeed in maneuvering his escape and also in bringing Wentworth and his partner and Dr. Ludlow to justice."
The Matrimaniac,"Short, Comedy, Romance","A young couple attempts to elope, with the bride's irate father in hot pursuit. The train stops briefly and the young man dashes off to find a minister, but before he can get himself and the minister onto the train, it leaves, carrying his bride-to- be away. Now the young man, minister in tow, pursues his bride while her father and a horde of lawmen pursue them both."
The Mystery of the Leaping Fish,"Comedy, Short","Coke Ennyday, the scientific detective, divides his own time in periods for ""Sleep"", ""Eat"", ""Dope"" and ""Drink"". In fact he's used to overcome every situation with drugs: consuming it to increase his energies or injecting it in his opponents to KO them. To help the police he discovers a contraband of opium (which he eagerly tastes) transported with ""Leaping Fishes"", and the blackmail of a mysterious man who wants to marry the ""fish blower"" girl. Will Coke be able to free the girl ?"
The Detective,"Crime, Drama, Thriller","Police detective Joe Leland investigates the murder of a gay man. While investigating, he discovers links to official corruption in New York City in this drama that delves into a world of sex and drugs."
Solo,"Action, Sci-Fi, Thriller","Mario Van Peebles stars as an android killing weapon designed by the military and utilized to enter into a Latin American war to destroy the rebels - natives fighting simply to maintain their freedom. Contrary to his programming, he develops an affinity for the villagers and decides to help them fight back. This lets his creators bring him back and ultimately leads to one of them being given more powerful circuitry to defeat him."
One A.M.,"Comedy, Family, Short","After a night on the town, Charlie comes home to the house where he is staying, drunk and unable to find his key. For the next twenty minutes he staggers into, out of, and through the house in an inebriated confrontation with the house itself."
The Pawnshop,"Comedy, Short",Charlie competes with his fellow shop assistant. He is fired by the pawnbroker and rehired. He nearly destroys everything in the shop and and himself. He helps capture a burglar. He destroys a client's clock while examining it in detail.
Police,"Action, Comedy, Crime, Drama","Musa Rami, who has become a legend with his struggle against the mafia, is a police officer at homicide division. One day prior to celebrating his 63rd birthday, with a surprise party arranged by his family, he finds out that he has cancer and two months left before his death. In these two months, will he be able to fight against the mafia that has intensified its threats against his family and simultaneously reveal his deep love to Funda, who is a university student 40 years younger than him?..."
Reggie Mixes In,"Action, Comedy, Drama","Reggie, a wealthy young man about town, is eager for excitement, so he takes to visiting the rougher sections of the city in search of thrills. He meets and falls for a cabaret singer, but she turns out to be the inamorata of the local gang boss. The gangster sends his men after Reggie, but eventually it comes down to a duel between the two men themselves."
The Rink,"Comedy, Short","After amusements working in a restaurant, Charlie uses his lunch break to go roller skating. Mr. Stout makes advances toward the unwilling Edna (whose father and Mrs. Stout had earlier carried on in the restaurant). After a roller skate ballet, Charlie (now as Sir Cecil Seltzer) is invited to a party at Edna's. All the ""couples"", including a new partner for Mr. Stout. show up."
"Run, Waiter, Run!",Comedy,A comedy concerning a down on his luck bookshop owner with a penchant for women who decides to make some money by pretending to be a waiter and collecting cash from unsuspecting diners.
Triple Trouble,"Comedy, Short","As Colonel Nutt is experimenting with explosives, a new janitor is joining his household. The inept janitor proceeds to make life difficult for the rest of staff. Meanwhile, a foreign agent arrives at the house in hopes of getting Col. Nutt's latest invention. The inventor throws him out, so the agent then employs a thug to get the formula. When police head to the Nutt home to start an investigation, a complicated fracas ensues."
The Vagabond,"Short, Comedy, Romance","After passing the hat and taking the donations intended for German street musicians Charlie heads for the country. Here he finds and rescues a girl from a band of gypsies. The girl falls in love with an artist whose portrait is later seen in a shop by the girl's real mother. The mother and the artist arrive in a chauffeured auto and offer Charlie money for his services, money which he rejects."
The Adventurer,"Comedy, Short","Charlie escapes from prison. After rescuing a girl and her mother from drowning, Charlie is invited to their home where a big party is held and he is treated like a hero. However, as a result Charlie's photo is printed in the newspapers and the prison guards come after him."
The Butcher Boy,"Comedy, Drama","Francie and Joe live the usual playful, fantasy filled childhoods of normal boys. However, with a violent, alcoholic father and a manic depressive, suicidal mother the pressure on Francie to grow up are immense. Unfortunately, one tragedy after another, Francie's world sinks deeper and deeper into paranoia (directed mainly against Mrs. Nugent, a nasty neighbor) and fantasy (where he has visions of the Virgin Mary)."
Coney Island,"Short, Comedy",Roscoe tries to dump his wife so he can enjoy the beach attractions. Buster arrives with Alice who is taken away from him by Al who loses her to Roscoe. Bathing beauties and Keystone Kops abound.
The Cure,Drama,"Dexter, age 11, who has AIDS, and his next door neighbor Erik, a little older and much bigger, become best friends. Erik also becomes closer to Dexter's mother than to his own, who is neglectful and bigoted and violently forbids their friendship upon learning of it. When they read that a doctor in distant New Orleans claims to have found a cure for AIDS, the boys leave home on their own, planning to float down the Mississippi river and find him."
Easy Street,"Short, Comedy","When Charlie the Tramp wanders into a mission he is smitten by Edna and puts back the collection box which he has taken. Reformed, he becomes a policeman and is assigned to rough-and-tumble Easy Street. Unable to trick or beat Eric the Tough, he puts Eric's head in a gas pipe and anesthetizes him. A hero, he now helps many poor people living on Easy Street. Eric escapes jail, Edna is kidnapped, but Charlie (recharged after sitting on a doper's needle) conquers all. Easy Street is transformed as is Eric."
His Wedding Night,"Short, Comedy","In a drugstore Al and Roscoe are rivals for Alice. Roscoe slings melons and operates the gas pump. Buster delivers a wedding gown for Alice, begins modeling it, is mistaken for Alice and is kidnapped by Al."
The Immigrant,"Drama, Romance","1921. In search of a new start and the American dream, Ewa Cybulska and her sister Magda sail to New York from their native Poland. When they reach Ellis Island, doctors discover that Magda is ill, and the two women are separated. Ewa is released onto the mean streets of Manhattan while her sister is quarantined. Alone, with nowhere to turn and desperate to reunite with Magda, she quickly falls prey to Bruno, a charming but wicked man who takes her in and forces her into prostitution. And then one day, Ewa encounters Bruno's cousin, the debonair magician Orlando. He sweeps Ewa off her feet and quickly becomes her only chance to escape the nightmare in which she finds herself."
The Little American,"Drama, Romance, War",German-American Karl and French-American Jules are in love with Angela when each returns to his country as war breaks out. She sails for France and while there is nearly raped by Karl as the Germans invade. She is later arrested for sending secret messages to Jules but Karl defends her. Both are saved from execution by the arrival of the French forces and Count Jules
The Little Princess,"Comedy, Drama, Family, Musical","When her father, Captain Crewe, goes off to fight in the Boer War, young Sara Crewe is placed into the care of Amanda Minchin, the head of an exclusive private school for girls. Sara lives a wonderful life of a privileged child and is quite happy in her surroundings. When her father is listed as missing in action however, her life goes from one of plenty to that of a poor house maid. Mrs. Minchin agrees to keep her on at the school, but in the absence of her tuition payments, she has to work for her keep. She is soon cleaning out the fireplace and scrubbing floors and is dubbed the little princess by her former schoolmates. She also refuses to accept that her father is dead and prowls the hospitals in the hope of locating him. Luck - and Royal intervention - assist her in her quest."
On Dangerous Ground,"Drama, Film-Noir","Hard, withdrawn city cop Jim Wilson roughs up one too many suspects and is sent upstate to help investigate the murder of a young girl in the winter countryside. There he meets Mary Malden, whom he finds attractive and independent. However, Mary's brother is chief suspect in the killing. And Mary herself is blind."
The Poor Little Rich Girl,"Comedy, Drama, Family","Gwen's family is rich, but her parents ignore her and most of the servants push her around, so she is lonely and unhappy. Her father is concerned only with making money, and her mother cares only about her social position. But one day a servant's irresponsibility creates a crisis that causes everyone to rethink what is important to them."
Rebecca of Sunnybrook Farm,"Comedy, Drama, Family, Musical",Rebecca's Uncle Harry leaves her with Aunt Miranda who forbids her to associate with show people. But neighbor Anthony Kent is a talent scout who secretly set it up for her to broadcast.
A Romance of the Redwoods,"Adventure, Comedy, Drama, History, Romance, Western","'Black' Brown, a notorious road agent on the run from the law, stumbles on the body of John Lawrence, an honest prospector during the early years of the California Gold Rush, riddled with Indian arrows. Brown takes the dead man's clothes and papers and is able to pass himself off as a good citizen in 1850's Calaveras County. When Lawrence's sister dies, her daughter spends the little money she has to journey to California and live with her uncle. Arriving at the isolated cabin, she realizes he is an impostor, but his threats intimidate her into silence. Lacking money and protection, she immediately becomes vulnerable to the advances of the largely all-male population, and so must acknowledge Brown publicly as her uncle in order to continue to receive food, shelter, and his protection. Over time, this understanding of mutual convenience turns to affection, and he pledges to reform. When former members of his gang continue their dishonest ways, however, the now rehabilitated Brown falls under the suspicion of the local vigilante committee."
The Rough House,"Comedy, Short","Roscoe, his wife and his mother-in-law run a seaside resort. Buster plays a gardener who puts out a fire started by Roscoe, then a delivery boy who fights with the cook St. John, then a cop."
Wild and Woolly,"Comedy, Western, Romance","A rich young Easterner who has always wanted to live in ""the Wild West"" plans to move to a Western town. Unknown to him, the town's ""wild"" days are long gone, and it is an orderly, civilized place now. The townsmen, not wanting to lose a rich potential resident, contrive to make over the town to suit the young man's fantasy."
Amarilly of Clothes-Line Alley,"Comedy, Romance","Amarilly comes from a large family in a working-class neighborhood. She is happy with her family and her boyfriend Terry, a bartender in a cafe. But one day she meets Gordon, a sculptor who comes from a rich family, and she begins to be drawn into the world of the upper class."
The Bell Boy,"Short, Comedy","At the Elk's Head Hotel bellhops torment the lobby, each other and guests. The elevator is powered by a stubborn horse. A sham robbery turns into a real one. And there is a chase on a runaway trolley."
The Outlaw and His Wife,Drama,"A stranger comes to work at widow Halla's farm. Halla and the stranger fall in love, but when he is revealed as Eyvind, an escaped thief forced into crime by his family's starvation, they flee and become two of the many outlaws of Iceland's mountains."
You and I,"Drama, Romance","Two girls, Lana and Janie, from vastly different worlds, bond as they persevere to become a part of the glamorous lifestyle offered by the power's high society. Although they are constantly challenged by the seductive, intoxicating allure of this society, they're suddenly forced to confront the cruel reality that lies beneath its glittery facade. As their bond is tested to its breaking point, they will need to re-discover the love that brought them together, otherwise their bond will be shattered forever."
The Blue Bird,"Drama, Family, Fantasy","Mytyl and her brother Tyltyl, a woodchopper's children, are led by the Fairy Berylune on a magical trip through the past, present, and future to locate the Blue Bird of Happiness."
The Bond,"Short, Comedy","Half-reel made for the Liberty Loan Committee and distributed free throughout the country. The actors show that bonds of friendship, love and marriage are inspiring but the most important bonds of all are Liberty Bonds, the blockbuster which will knock out the Kaiser."
The Cook,"Comedy, Short","In an attempt at greater efficiency, the chef of a fancy oceanside restaurant and his assistant wreak havoc in the establishment. Adding to the complications is the arrival of a robber."
"Good Night, Nurse!","Comedy, Short","An inebriated man stands in front of a drug store during a rain storm trying to light a cigarette. Back at his home, his wife and butler see a report on the No Hope Clinic's success curing alcoholics. When hubby arrives home, bringing two gypsies and their monkey, his wife insists it's time for the clinic. Once there, he gets a look at various surgeries, and he wants out - assisted at first by a woman who believes she's a mermaid. He pretends to drown, he dresses as a woman, and, when running away, he inadvertently joins the town's annual fat man foot race. But can he outrun the men in white coats?"
Hearts of the World,"Drama, War","A group of youngsters grow up and love in a peaceful French village. But war intrudes and peace is shattered. The German army invades and occupies village, bringing both destruction and torture. The young people of the village resist, some successfully, others tragically, until French troops retake the town."
Intolerance: Love's Struggle Throughout the Ages,"Drama, History","Intolerance and its terrible effects are examined in four historical eras. In ancient Babylon, a mountain girl is caught up in the religious rivalry that leads to the city's downfall. In Judea, the hypocritical Pharisees condemn Jesus Christ. In 1572 Paris, unaware of the impending St. Bartholomew's Day Massacre, two young Huguenots prepare for marriage. Finally, in modern America, social reformers destroy the lives of a young woman and her beloved."
The Married Virgin,Drama,"In order to save her wealthy father from disgrace and a possible prison sentence, a daughter agrees to marry the gigolo who's been blackmailing him. What the daughter doesn't know, however, is that the gigolo is actually in cahoots with her father's new wife, a conniving schemer who plans to fleece her new husband for everything he has, then flee the country with her lover."
Moonshine,"Comedy, Short","A feud between the Owens and the Gillettes ends when the last remaining Gillette is killed, but new trouble erupts for the mountain folk with the arrival of a U.S. revenue agent and his assistant. The revenuers search high and low for the secret hideaway where the mountain people prepare illegal alcohol, but end up in deep trouble that only a little movie magic can save them from."
Out West,"Short, Western, Comedy",A satire of western movies. Roscoe comes into town after riding the rails. The saloon has a trap door over a pit where bodies are tossed as they are shot. A black patron is taunted and shot at. Roscoe and Buster do everything they can to keep Al from Alice.
Shifting Sands,Drama,"Marcia Grey is wrongly convicted on trumped-up evidence of a German. After serving her term, she rebuilds her life and marries well. The German then attempts to blackmail her into helping the German cause during WWI."
Shoulder Arms,"Comedy, War","Charlie is in boot camp in the ""awkward squad."" Once in France he gets no letters from home. He finally gets a package containing limburger cheese which requires a gas mask and which he throws over into the German trench. He goes ""over the top"" and captures thirteen Germans (""I surrounded them""), then volunteers to wander through the German lines disguised as a tree trunk. With the help of a French girl he captures the Kaiser and the Crown Prince and is given a statue and victory parade in New York and then ... fellow soldiers wake him from his dream."
The Sinking of the 'Lusitania',"Animation, Short, War","An animated depiction of the sinking of the Lusitania: In May 1915, the liner leaves the United States, headed for Liverpool with over 2000 passengers on board. As the ship nears its destination, she is struck and severely damaged by a torpedo from a German U-boat. Even as frantic efforts to evacuate the ship are underway, another torpedo strikes the ship, leading quickly to disaster."
Stella Maris,Drama,"Stella Maris is a beautiful, crippled girl, who is cared for by a rich family. They shield her from the harsh realities of the world, so that she has no idea of the cruel things that some people do. Unity Blake is a poor orphan all too familiar with the harsh realities of the real world. These two young women both fall in love with John, love which is complicated by the fact that he is still married to (though separated from) a bad wife."
Tarzan of the Apes,"Action, Adventure","The plot follows the novel more closely than does any other Tarzan movie. John and Alice Clayton take ship for Africa. Mutineers maroon them. After his parents die the newborn Tarzan is taken by a great Ape, Kala. Later the boy finds his father's knife and uses it to become King of Apes. Binns, the sailor who saved the Claytons and who has been held by Arab slavers for ten years, finds the young Tarzan and then heads for England to notify his kin. A scientist arrives to check out Binns' story. Tarzan, now a man, kills the native who killed Kala; when their chief is killed the black villagers appease Tarzan with gifts and prayers. The scientist's daughter Jane is carried off by a native, rescued by Tarzan (who has burnt the native village), aggressively loved by him (""Tarzan is a man, and men do not force the love of women""), and at last accepts him with open arms."
Ask Father,"Comedy, Short","The young couple have decided to marry and it is time to ask the father for the hand of his daughter. Problem is, the father does not want to give the daughter away. So every time he goes to the office to ask the father, he is tossed out. He is ejected over and over, by different methods, while the girl waits and waits."
Auction of Souls,"Drama, History, Romance","Aurora Mardiganian, a young and beautiful Armenian girl, lives with her parents in the Turkish city of Havpoul. Her father, a prosperous merchant, was preparing to send her to the West to be educated. For centuries the Armenians had been terrorized by the Turks, but this was a period of serenity between the Turks and the Christian-Armenians. However, the War had hit Europe, and the Turks had informed the American ambassador, Henry Morganthau, in Constantinople, that the Armenians were giving support to the Turks' enemy, Russia. Despite Morgantheau's objections, the Turks issue a decree that the Armenians must be moved southward into the desert. The Turkish governor, a Pasha, comes to Aurora's father and demands she be given him as a bride. The father tells him his daughter will not give up her Christian belief, as she would have to do to marry a Muslim. The governor leaves in anger. The order is given for the removal of the Armenians. The men are separated from the women, and the Armenian soldiers are forced to disrobe and dig a trench, and then are shot down by the Turks. Mothers are torn away from their children and the Armenians are marched away into the desert where, famine, thirst and fierce heat await them. Aurora escapes to a mission school ran by Edith Graham, an English girl. The Turk soldiers surround the school and Miss Graham protests under the protection of the English flag to no avail,as the Turks trample the flag, and the Armenian girls are dragged away. Miss Graham, determined to help the girls as much as she possibly can, disguises herself as one of them and joins the march."
Back Stage,"Short, Comedy","Roscoe and Buster are working at a vaudeville house. When the crew attacks the strongman for bullying his assistant, the man goes out on strike so the crew puts on a show. When the strongman starts shooting from the balcony, Buster rigs a swing, picks him up, and takes him to the stage where is again subdued."
"Billy Blazes, Esq.","Short, Comedy, Western","The mining town of Peaceful Vale is a rough place, and sheriff 'Gun Shy' Gallagher can do little about it, since the town is ruled by Crooked Charley, the gambler. Charley runs Pierre the tavern keeper out of town, and takes Pierre's daughter Nell as his prisoner. But when Billy Blazes sees Charley's henchmen harassing Pierre, he rescues Pierre and then proceeds to confront Charley back at the tavern."
Broken Blossoms,"Drama, Romance","Cheng Huan is a missionary whose goal is to bring the teachings of peace by Buddha to the civilized Anglo-Saxons. Upon landing in England, he is quickly disillusioned by the intolerance and apathy of the country. He becomes a storekeeper of a small shop. Out his window, he sees the young Lucy Burrows. She is regularly beaten by her prizefighter father, underfed and wears ragged clothes. Even in this deplorable condition, Cheng can see that she is a priceless beauty and he falls in love with her from afar. On the day that she passes out in front of his store, he takes her in and cares for her. With nothing but love in his heart, he dresses her in silks and provides food for her. Still weak, she stays in his shop that night and all that Cheng does is watch over her. The peace and happiness that he sees last only until Battling Burrows finds out that his daughter is with a foreigner."
Broken Blossoms,"Drama, Romance","Cheng Huan is a missionary whose goal is to bring the teachings of peace by Buddha to the civilized Anglo-Saxons. Upon landing in England, he is quickly disillusioned by the intolerance and apathy of the country. He becomes a storekeeper of a small shop. Out his window, he sees the young Lucy Burrows. She is regularly beaten by her prizefighter father, underfed and wears ragged clothes. Even in this deplorable condition, Cheng can see that she is a priceless beauty and he falls in love with her from afar. On the day that she passes out in front of his store, he takes her in and cares for her. With nothing but love in his heart, he dresses her in silks and provides food for her. Still weak, she stays in his shop that night and all that Cheng does is watch over her. The peace and happiness that he sees last only until Battling Burrows finds out that his daughter is with a foreigner."
Bumping Into Broadway,"Comedy, Short","Young playwright spends his last cent to pay the rent of struggling actress in a theatrical boarding house. Pursuing her, he winds up at a gambling club, where he wins big, just before a police raid."
The Busher,"Drama, Sport","Ben Harding is a terrific pitcher for a small-town amateur baseball team. When the Minneapolis Pink Sox, a major-league team, is delayed in his town, Ben's team plays a scrub game against them and the Pink Sox are astonished to see this amateur strike out their best batters. Ben is given a contract with the Pink Sox but his experience in the big city on a major-league team changes him into a rude and pompous lout. Only when his good fortune is reversed does Ben have a chance to right himself."
Daddy-Long-Legs,"Comedy, Drama","Wealthy Jervis Pendleton acts as benefactor for orphan Judy Abbott, anonymously sponsoring her in her boarding school. But as she grows up, he finds himself falling in love with her, and she with him, though she does not know that the man she has fallen for is her benefactor."
Daddy Long Legs,"Musical, Romance","On a trip to France, millionaire Jervis Pendelton sees an 18 year old girl in an orphanage. Enchanted with her, but mindful of the difference in their ages, he sponsors her to college in New England. She writes him letters, which he doesn't read. After 3 years, he goes to visit her at a dance, not telling her that he is her benefactor. They fall in love, but the usual movie-type difficulties get in the way before they can get together at the end."
A Day's Pleasure,"Short, Comedy","Father takes his family for a drive in their falling-apart Model T Ford, gets in trouble in traffic, and spends the day on an excursion boat. As the boat is about to leave Charlie rushes ashore for cigarettes. As he returns the boat is leaving, but a fat lady has fallen forward with feet on the dock and hands on the deck so Charlie is able rush aboard across her back."
The Delicious Little Devil,"Comedy, Drama","A poor hat-check girl loses her job and is forced to get a job as a dancer at a roadhouse. There she falls in love with the son of a rich businessman. The boy's father, believing her to be ..."
Don't Change Your Husband,Comedy,"Leila Porter comes to dislike her husband James, a glue king who is always eating onions and looking sloppy. But after she divorces him and marries two-timing playboy Schuyler Van Sutphen the now-reformed James looks pretty good."
"For Better, for Worse",Drama,"Dr. Edward Meade and friend Richard Burton both love Sylvia Norcross. Both enlist in the military, but Meade stays back to care for deformed children. Sylvia thinks him a coward and marries..."
From Hand to Mouth,"Comedy, Short, Action","Harold is starving since he has no money to buy food. He may even fight a young starving girl and her starving dog for a morsel. Their unwitting attempts at getting money for food may get them into trouble. But they are helped by a young woman, Mildred. Harold doesn't want to disappoint her, which may be the case when they meet again. But in making things right with her, she may get into a bit a scrap herself with some criminal elements. She is coming into some money fro an inheritance, but she is unaware that the lawyer handling the matter is trying to bilk her out of the money. Harold may yet again unwittingly help her in thwarting the actions of the lawyer while he tries to evade the law himself."
The Garage,"Comedy, Drama","The members of a Soviet cooperative have pooled their money to have a badly needed parking garage built. But it turns out that the garage will have four fewer spaces than planned. In brutal Soviet style, the four least-well connected members are evicted from the cooperative in a mock vote, losing their entire investment. But one member, Malayeva, does the unthinkable. As if taking on the entire corrupt Soviet system, she quixotically locks down the meeting room and throws away the key. Chaos reigns through the night until the privileged are forced to negotiate for the first time in their lives. A madcap, rollicking, biting satire that Brezhnev banned."
His Royal Slyness,"Comedy, Short",An American book salesman (Lloyd) is persuaded to go to the kingdom of Thermosa to impersonate the Prince. He is greeted by a peasants' revolt before the real prince shows up to claim his ...
J'accuse!,"Drama, Horror, War","The story of two men, one married, the other the lover of the other's wife, who meet in the trenches of the First World War, and how their tale becomes a microcosm for the horrors of war."
The Cabinet of Dr. Caligari,"Fantasy, Horror, Mystery, Thriller","Francis, a young man, recalls in his memory the horrible experiences he and his fiancée Jane recently went through. It is the annual fair in Holstenwall. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep. When Alan asks Cesare about his future, Cesare answers that he will die before dawn. The next morning Alan is found dead. Francis suspects Cesare of being the murderer, and starts spying on him and Dr. Caligari. The following night Cesare is going to stab Jane in her bed, but softens when he sees the beautiful woman, and instead of committing another murder, he abducts her. Jane's father awakens because of the noise, and he and some servants follow the fleeing Cesare. When Cesare cannot outrun his pursuers anymore, he gently places Jane down on the ground, and runs away. Francis and the police investigate the caravan of Dr. Caligari, but the doctor succeeds in slipping away. Francis pursues the fleeing Dr. Caligari, and sees him disappear into a madhouse. Francis enters the madhouse, where he is sure he will find the truth behind all these mysterious events."
Male and Female,"Adventure, Drama","Lord Brockelhurst, his unwilling betrothed Lady Mary, his butler Crichton and scullery maid Tweeny are on Lord Loam's yacht which is wrecked leaving them all to cope on a desert island. Class distinctions fall apart for the time being."
The Doll,"Comedy, Fantasy","Because the Baron of Chanterelle wants to preserve his family line, he forces his timid nephew Lancelot to choose one of the village maidens to wed. Lancelot flees to a monastery to escape the forty eager maidens. When the gluttonous monks discover that the Baron is offering a large sum for the marriage, they suggest Lancelot marry a mechanical doll instead. The doll maker has just finished making a replica of his daughter Ossi, but his assistant accidentally breaks it and convinces the real girl to mimic the doll. Lancelot buys her, thinking she is a doll, and takes her back to the monastery, where they are wed."
Sunnyside,"Comedy, Short","Charlie works on a farm from 4am to late at night. He gets his food on the run (milking a cow into his coffee, holding an chicken over the frying pan to get fried eggs). He loves the neighbor's daughter Edna but is disliked by her father. He rides a cow into a stream and is kicked off. Unconscious, he dreams of a nymph dance. Back in reality a city slicker is hurt in a car crash and is being cared for by Edna. When Charlie is rejected after attempting to imitate the slicker, the result is ambiguous--either tragic or a happy ending. Critics have long argued as to whether the final scene is real or a dream."
True Heart Susie,"Comedy, Drama, Romance","Susie, a plain young country girl, secretly loves a neighbor boy, William. She believes in him and sacrifices much of her own happiness to promote his own ambitions, all without his knowledge. Eventually he rises to a position of success and sophistication, and Susie realizes that she has through her own efforts raised him to a level where he is inaccessible to her."
When the Clouds Roll by,"Action, Comedy, Romance","The comfortable and amiable Daniel Boone Brown, a resident of New York's water front, becomes the victim of a mad scientist's psychological experiments. For days, Dr. Ulrich Metz messes up Daniel's life, bringing on failing health, restless sleep, a nervous and irritable disposition, tardiness for work, and superstitions that cause worry and fear. Several months into the ordeal, one of Metz's minions, hired as Daniel's livery, feeds him a midnight snack of spring onions, lobster, Welsh rarebit and mince pie. We see the contents of his stomach causing pain and distress; then he has vivid and surreal nightmares. Will Metz succeed in driving Daniel to suicide?"
Yankee Doodle in Berlin,Comedy,"Captain Bob White, an American aviator is sent on a dangerous mission to Germany to steal the enemy's plans for an expected drive. Bob impersonates a woman in order to entrap the Kaiser whose weakness for women is well known. Bob flirts with the Kaiser, Hindenburg, and the Crown Prince, and each one becomes jealous of the others. Bob lures the Kaiser to his downfall with an Oriental dance. Hindenburg tells the Kaiser's wife that her husband is visiting a woman in her chambers, and the results prove disastrous for all three men. Bob eventually gains the military secrets and the enemy is defeated in time."
